mdt_id,gnss_utmkx,gnss_utmky,rqt_st_dt,bts_market_nm,event_time
MDT001,961000.0,1946000.0,20260803124500,SAMSUNG,2026-08-03 12:45:00
MDT002,962000.0,1947000.0,20260803124515,SAMSUNG,2026-08-03 12:45:15
MDT003,963000.0,1948000.0,20260803124530,ERICSSON,2026-08-03 12:45:30
MDT004,964000.0,1949000.0,20260803124545,NOKIA,2026-08-03 12:45:45
MDT005,965000.0,1950000.0,20260803124510,SAMSUNG,2026-08-03 12:45:10
MDT006,966000.0,1951000.0,20260803124520,ERICSSON,2026-08-03 12:45:20
MDT007,967000.0,1952000.0,20260803124535,SAMSUNG,2026-08-03 12:45:35
MDT008,968000.0,1953000.0,20260803124600,SAMSUNG,2026-08-03 12:46:00
MDT009,969000.0,1954000.0,20260803124000,NOKIA,2026-08-03 12:40:00
MDT010,970000.0,1955000.0,20260803125000,ERICSSON,2026-08-03 12:50:00
